"scenario_label","method_label","n_counts","mean_es_correct","mean_es_incorrect","mean_es_diff","prop_correct_wins"
"Scenario 1: Misspecified","Multinomial",1,0.291956871510385,0.888801696822082,-0.596844825311697,0.868
"Scenario 1: Misspecified","Multinomial",2,0.243037503322996,0.824113410296177,-0.581075906973181,0.957
"Scenario 1: Misspecified","Multinomial",3,0.219956187091458,0.804739969002746,-0.584783781911289,0.945
"Scenario 1: Misspecified","Multinomial",4,0.197835891797092,0.802004831206756,-0.604168939409664,0.973
"Scenario 1: Misspecified","Multinomial",5,0.182602159451007,0.799787397639213,-0.617185238188206,0.972
"Scenario 1: Misspecified","Multinomial",10,0.145047572154685,0.81175649014078,-0.666708917986095,0.983
"Scenario 1: Misspecified","Multinomial",25,0.113223962336333,0.834004555859451,-0.720780593523118,0.995
"Scenario 1: Misspecified","Multinomial",50,0.100434878925042,0.844490858327571,-0.74405597940253,1
"Scenario 1: Misspecified","Multinomial",100,0.0931242356726922,0.850243230914467,-0.757118995241775,1
"Scenario 1: Misspecified","Multinomial",500,0.0868241868454504,0.856954395240846,-0.770130208395395,1
"Scenario 1: Misspecified","Non-Multinomial",1,0.450892622462573,1.01335277799124,-0.562460155528664,0.895
"Scenario 1: Misspecified","Non-Multinomial",2,0.341984885103727,0.924053630847464,-0.582068745743737,0.957
"Scenario 1: Misspecified","Non-Multinomial",3,0.282320250358413,0.894111081874006,-0.611790831515593,0.943
"Scenario 1: Misspecified","Non-Multinomial",4,0.239011474689513,0.885786675713042,-0.646775201023528,0.972
"Scenario 1: Misspecified","Non-Multinomial",5,0.214303064375741,0.875450920517714,-0.661147856141973,0.972
"Scenario 1: Misspecified","Non-Multinomial",10,0.156710840739825,0.862090539129941,-0.705379698390116,0.983
"Scenario 1: Misspecified","Non-Multinomial",25,0.116826124335613,0.859885903310599,-0.743059778974986,0.995
"Scenario 1: Misspecified","Non-Multinomial",50,0.102650522775197,0.858886304744112,-0.756235781968915,1
"Scenario 1: Misspecified","Non-Multinomial",100,0.0944961985275498,0.858156453359336,-0.763660254831786,1
"Scenario 1: Misspecified","Non-Multinomial",500,0.0872684257627986,0.858495675091009,-0.77122724932821,1
"Scenario 2: Narrow/Calibrated","Multinomial",1,0.29286384774007,0.29280004555231,6.38021877604613e-05,0.388
"Scenario 2: Narrow/Calibrated","Multinomial",2,0.243339825640202,0.243449069906001,-0.000109244265798566,0.511
"Scenario 2: Narrow/Calibrated","Multinomial",3,0.220643711244588,0.220795087608939,-0.000151376364350965,0.527
"Scenario 2: Narrow/Calibrated","Multinomial",4,0.197968725281516,0.198283257105897,-0.000314531824380733,0.479
"Scenario 2: Narrow/Calibrated","Multinomial",5,0.182922852992305,0.183107388361491,-0.000184535369186184,0.465
"Scenario 2: Narrow/Calibrated","Multinomial",10,0.14511736049972,0.145951584959677,-0.000834224459956905,0.538
"Scenario 2: Narrow/Calibrated","Multinomial",25,0.112936773366684,0.115940784996321,-0.00300401162963772,0.553
"Scenario 2: Narrow/Calibrated","Multinomial",50,0.100086113347922,0.106247939328008,-0.00616182598008657,0.637
"Scenario 2: Narrow/Calibrated","Multinomial",100,0.0926485594374432,0.102846963399127,-0.010198403961684,0.709
"Scenario 2: Narrow/Calibrated","Multinomial",500,0.0864649026044022,0.105931298685625,-0.0194663960812226,0.806
"Scenario 2: Narrow/Calibrated","Non-Multinomial",1,0.453345347226411,0.515198563431551,-0.0618532162051398,1
"Scenario 2: Narrow/Calibrated","Non-Multinomial",2,0.346678773164782,0.408574342074496,-0.0618955689097135,1
"Scenario 2: Narrow/Calibrated","Non-Multinomial",3,0.285527605157406,0.344212320367318,-0.0586847152099122,1
"Scenario 2: Narrow/Calibrated","Non-Multinomial",4,0.241475602592271,0.294630978193599,-0.0531553756013278,1
"Scenario 2: Narrow/Calibrated","Non-Multinomial",5,0.217310288866481,0.268314710606877,-0.0510044217403967,1
"Scenario 2: Narrow/Calibrated","Non-Multinomial",10,0.158560447610302,0.201999003076333,-0.0434385554660319,1
"Scenario 2: Narrow/Calibrated","Non-Multinomial",25,0.117632465781831,0.154357799130212,-0.0367253333483813,0.936
"Scenario 2: Narrow/Calibrated","Non-Multinomial",50,0.103070394049427,0.136250975056166,-0.0331805810067396,0.923
"Scenario 2: Narrow/Calibrated","Non-Multinomial",100,0.0945592099720244,0.125296687981629,-0.0307374780096049,0.903
"Scenario 2: Narrow/Calibrated","Non-Multinomial",500,0.086943632613228,0.114751350096758,-0.0278077174835299,0.873
"Scenario 3: Dispersed/Calibrated","Multinomial",1,0.294533598153879,0.29511975679791,-0.000586158644030377,0.743
"Scenario 3: Dispersed/Calibrated","Multinomial",2,0.243272135342023,0.245092220112453,-0.00182008477042926,0.78
"Scenario 3: Dispersed/Calibrated","Multinomial",3,0.220342055725513,0.222275699922689,-0.00193364419717624,0.668
"Scenario 3: Dispersed/Calibrated","Multinomial",4,0.197857193032451,0.201107156033258,-0.00324996300080777,0.74
"Scenario 3: Dispersed/Calibrated","Multinomial",5,0.183270007700536,0.187582745884597,-0.00431273818406157,0.675
"Scenario 3: Dispersed/Calibrated","Multinomial",10,0.145218470998471,0.152908875301677,-0.00769040430320636,0.731
"Scenario 3: Dispersed/Calibrated","Multinomial",25,0.112980953875263,0.125715417117813,-0.0127344632425496,0.765
"Scenario 3: Dispersed/Calibrated","Multinomial",50,0.100161561421281,0.115801446468775,-0.0156398850474946,0.81
"Scenario 3: Dispersed/Calibrated","Multinomial",100,0.0927925541089618,0.110572343026516,-0.0177797889175546,0.828
"Scenario 3: Dispersed/Calibrated","Multinomial",500,0.0865808840043988,0.106389468677241,-0.0198085846728422,0.835
"Scenario 3: Dispersed/Calibrated","Non-Multinomial",1,0.444464863490186,0.39260797048421,0.0518568930059763,0
"Scenario 3: Dispersed/Calibrated","Non-Multinomial",2,0.339310665346327,0.289931537094523,0.0493791282518042,0
"Scenario 3: Dispersed/Calibrated","Non-Multinomial",3,0.28120705377877,0.245958426950027,0.0352486268287426,0.233
"Scenario 3: Dispersed/Calibrated","Non-Multinomial",4,0.237261629287658,0.212224599221672,0.0250370300659861,0.239
"Scenario 3: Dispersed/Calibrated","Non-Multinomial",5,0.212366148412605,0.193540738184902,0.0188254102277021,0.206
"Scenario 3: Dispersed/Calibrated","Non-Multinomial",10,0.155551576934453,0.151687929186951,0.00386364774750232,0.435
"Scenario 3: Dispersed/Calibrated","Non-Multinomial",25,0.116234552407935,0.124810678612187,-0.00857612620425177,0.712
"Scenario 3: Dispersed/Calibrated","Non-Multinomial",50,0.102023080318603,0.115731574222012,-0.0137084939034094,0.765
"Scenario 3: Dispersed/Calibrated","Non-Multinomial",100,0.0938068140429431,0.110734032557013,-0.0169272185140699,0.796
"Scenario 3: Dispersed/Calibrated","Non-Multinomial",500,0.0865661560310229,0.106487301748957,-0.0199211457179341,0.837
"Scenario 4: Less Misspecified","Multinomial",1,0.293974007878763,0.335269331155612,-0.0412953232768488,0.742
"Scenario 4: Less Misspecified","Multinomial",2,0.244600016964526,0.294464267246255,-0.049864250281729,0.565
"Scenario 4: Less Misspecified","Multinomial",3,0.220757387370189,0.272585632339596,-0.0518282449694075,0.435
"Scenario 4: Less Misspecified","Multinomial",4,0.1986009124533,0.254144478233825,-0.0555435657805246,0.726
"Scenario 4: Less Misspecified","Multinomial",5,0.183540749302775,0.241157149368933,-0.0576164000661577,0.628
"Scenario 4: Less Misspecified","Multinomial",10,0.145390786929377,0.213864255672878,-0.068473468743501,0.747
"Scenario 4: Less Misspecified","Multinomial",25,0.112994030617668,0.200303913291931,-0.0873098826742635,0.781
"Scenario 4: Less Misspecified","Multinomial",50,0.100183990966491,0.197856894649437,-0.097672903682946,0.805
"Scenario 4: Less Misspecified","Multinomial",100,0.0927402432993661,0.197054774698941,-0.104314531399575,0.819
"Scenario 4: Less Misspecified","Multinomial",500,0.0863496995556599,0.198958160617233,-0.112608461061574,0.842
"Scenario 4: Less Misspecified","Non-Multinomial",1,0.445405603987606,0.572703662507747,-0.127298058520141,0.745
"Scenario 4: Less Misspecified","Non-Multinomial",2,0.343518453161954,0.419258173871019,-0.0757397207090656,0.564
"Scenario 4: Less Misspecified","Non-Multinomial",3,0.285159337087329,0.353825847285843,-0.0686665101985142,0.666
"Scenario 4: Less Misspecified","Non-Multinomial",4,0.241140128402319,0.316428532049791,-0.0752884036474715,0.725
"Scenario 4: Less Misspecified","Non-Multinomial",5,0.215342650284451,0.29153993503987,-0.0761972847554185,0.622
"Scenario 4: Less Misspecified","Non-Multinomial",10,0.15772182335694,0.243941310671068,-0.086219487314128,0.741
"Scenario 4: Less Misspecified","Non-Multinomial",25,0.117443470335321,0.216767257398047,-0.0993237870627264,0.774
"Scenario 4: Less Misspecified","Non-Multinomial",50,0.102754582372259,0.207759373607797,-0.105004791235537,0.807
"Scenario 4: Less Misspecified","Non-Multinomial",100,0.0943579553256812,0.20284409488347,-0.108486139557789,0.817
"Scenario 4: Less Misspecified","Non-Multinomial",500,0.0869368772622634,0.200026616607326,-0.113089739345063,0.84
