"scenario_label","method_label","n_counts","mean_es_correct","mean_es_incorrect","mean_es_diff","prop_correct_wins"
"S1: Mislocation (α=5,10,15)","Multinomial",1,0.471231260773476,0.509811713861321,-0.0385804530878449,0.6606
"S1: Mislocation (α=5,10,15)","Multinomial",2,0.357248378572466,0.396828528854253,-0.0395801502817877,0.6667
"S1: Mislocation (α=5,10,15)","Multinomial",3,0.30272866085589,0.34185435488064,-0.0391256940247497,0.6193
"S1: Mislocation (α=5,10,15)","Multinomial",4,0.266178247790464,0.311742143787644,-0.0455638959971801,0.6188
"S1: Mislocation (α=5,10,15)","Multinomial",5,0.241000354691699,0.289278941697763,-0.0482785870060634,0.6227
"S1: Mislocation (α=5,10,15)","Multinomial",10,0.183799609661812,0.244967232679136,-0.061167623017324,0.7021
"S1: Mislocation (α=5,10,15)","Multinomial",25,0.135750112029879,0.214739059897629,-0.0789889478677492,0.7893
"S1: Mislocation (α=5,10,15)","Multinomial",50,0.115458896717585,0.205302727583569,-0.0898438308659838,0.8227
"S1: Mislocation (α=5,10,15)","Multinomial",100,0.104440597320495,0.201001289639032,-0.0965606923185364,0.8465
"S1: Mislocation (α=5,10,15)","Multinomial",500,0.09395468943578,0.198721433869503,-0.104766744433723,0.8704
"S1: Mislocation (α=5,10,15)","Non-Multinomial",1,0.730028067469142,0.751477563919118,-0.0214494964499762,0.667
"S1: Mislocation (α=5,10,15)","Non-Multinomial",2,0.470169075968119,0.505109191893481,-0.0349401159253624,0.668
"S1: Mislocation (α=5,10,15)","Non-Multinomial",3,0.364320598788647,0.41660394945534,-0.0522833506666933,0.6199
"S1: Mislocation (α=5,10,15)","Non-Multinomial",4,0.314092992969165,0.367989888467249,-0.0538968954980845,0.6209
"S1: Mislocation (α=5,10,15)","Non-Multinomial",5,0.277335109655246,0.335812870652132,-0.0584777609968861,0.6213
"S1: Mislocation (α=5,10,15)","Non-Multinomial",10,0.199002307047686,0.272138602191144,-0.0731362951434581,0.7023
"S1: Mislocation (α=5,10,15)","Non-Multinomial",25,0.139817684370699,0.228445367565597,-0.0886276831948978,0.788
"S1: Mislocation (α=5,10,15)","Non-Multinomial",50,0.116671078744921,0.213152399065958,-0.0964813203210379,0.8212
"S1: Mislocation (α=5,10,15)","Non-Multinomial",100,0.104217982625834,0.205745830054694,-0.10152784742886,0.8467
"S1: Mislocation (α=5,10,15)","Non-Multinomial",500,0.0940154361510983,0.199351093734279,-0.105335657583181,0.8691
"S2: Moderate Dispersed (α=2,2,2)","Multinomial",1,0.471146789797386,0.471910747963783,-0.000763958166397292,0.513
"S2: Moderate Dispersed (α=2,2,2)","Multinomial",2,0.359830957655895,0.359877959500332,-4.70018444370598e-05,0.5579
"S2: Moderate Dispersed (α=2,2,2)","Multinomial",3,0.304460367001929,0.300997774225674,0.00346259277625515,0.4741
"S2: Moderate Dispersed (α=2,2,2)","Multinomial",4,0.26771061936286,0.269959481587351,-0.00224886222449049,0.6001
"S2: Moderate Dispersed (α=2,2,2)","Multinomial",5,0.244399530320963,0.244221585298691,0.000177945022272599,0.5519
"S2: Moderate Dispersed (α=2,2,2)","Multinomial",10,0.18523254937619,0.18844670106646,-0.00321415169027013,0.6046
"S2: Moderate Dispersed (α=2,2,2)","Multinomial",25,0.137080608297403,0.144952276726834,-0.00787166842943038,0.6596
"S2: Moderate Dispersed (α=2,2,2)","Multinomial",50,0.116510502509745,0.128185136296929,-0.0116746337871836,0.7024
"S2: Moderate Dispersed (α=2,2,2)","Multinomial",100,0.104797407316718,0.119680582120228,-0.0148831748035096,0.7366
"S2: Moderate Dispersed (α=2,2,2)","Multinomial",500,0.0946858357234328,0.11221381937385,-0.0175279836504172,0.7643
"S2: Moderate Dispersed (α=2,2,2)","Non-Multinomial",1,0.73088637850988,0.647548498170518,0.0833378803393623,4e-04
"S2: Moderate Dispersed (α=2,2,2)","Non-Multinomial",2,0.472774278968964,0.411125877417672,0.0616484015512924,0.0057
"S2: Moderate Dispersed (α=2,2,2)","Non-Multinomial",3,0.366917453190045,0.323976749924085,0.0429407032659602,0.1986
"S2: Moderate Dispersed (α=2,2,2)","Non-Multinomial",4,0.316383039298608,0.277004807175927,0.0393782321226804,0.1699
"S2: Moderate Dispersed (α=2,2,2)","Non-Multinomial",5,0.280987364141961,0.247396496440013,0.0335908677019474,0.2459
"S2: Moderate Dispersed (α=2,2,2)","Non-Multinomial",10,0.201886003546434,0.185030889552134,0.0168551139943002,0.3495
"S2: Moderate Dispersed (α=2,2,2)","Non-Multinomial",25,0.141984823885806,0.142409237258933,-0.000424413373126373,0.5354
"S2: Moderate Dispersed (α=2,2,2)","Non-Multinomial",50,0.118614782353656,0.127284578551701,-0.00866979619804505,0.6383
"S2: Moderate Dispersed (α=2,2,2)","Non-Multinomial",100,0.105711862228474,0.119288187494862,-0.0135763252663881,0.7029
"S2: Moderate Dispersed (α=2,2,2)","Non-Multinomial",500,0.0948758150828229,0.112912301266751,-0.0180364861839283,0.7647
"S3: Extreme Dispersed (α=0.5,0.5,0.5)","Multinomial",1,0.471050439427364,0.471480827040806,-0.000430387613441667,0.5048
"S3: Extreme Dispersed (α=0.5,0.5,0.5)","Multinomial",2,0.359800321109918,0.369880715658269,-0.0100803945483512,0.6703
"S3: Extreme Dispersed (α=0.5,0.5,0.5)","Multinomial",3,0.300077572565772,0.319501650048973,-0.0194240774832007,0.6995
"S3: Extreme Dispersed (α=0.5,0.5,0.5)","Multinomial",4,0.265685824580821,0.288988546355022,-0.0233027217742009,0.6983
"S3: Extreme Dispersed (α=0.5,0.5,0.5)","Multinomial",5,0.242696354134079,0.26842019023246,-0.0257238360983818,0.7331
"S3: Extreme Dispersed (α=0.5,0.5,0.5)","Multinomial",10,0.184378825902363,0.225444316019534,-0.0410654901171708,0.8164
"S3: Extreme Dispersed (α=0.5,0.5,0.5)","Multinomial",25,0.13587659249121,0.194818489218077,-0.0589418967268678,0.8945
"S3: Extreme Dispersed (α=0.5,0.5,0.5)","Multinomial",50,0.115747149965933,0.184482831764563,-0.0687356817986302,0.9306
"S3: Extreme Dispersed (α=0.5,0.5,0.5)","Multinomial",100,0.104453697604438,0.178709653957306,-0.0742559563528682,0.9476
"S3: Extreme Dispersed (α=0.5,0.5,0.5)","Multinomial",500,0.0933551274626191,0.17411816683565,-0.0807630393730312,0.9668
"S3: Extreme Dispersed (α=0.5,0.5,0.5)","Non-Multinomial",1,0.730871582162463,0.556292957026592,0.174578625135871,1e-04
"S3: Extreme Dispersed (α=0.5,0.5,0.5)","Non-Multinomial",2,0.471880994569017,0.377232420910778,0.0946485736582395,0.0246
"S3: Extreme Dispersed (α=0.5,0.5,0.5)","Non-Multinomial",3,0.365874747664647,0.312717151389967,0.0531575962746795,0.2047
"S3: Extreme Dispersed (α=0.5,0.5,0.5)","Non-Multinomial",4,0.316914808586782,0.279131674072487,0.0377831345142955,0.4
"S3: Extreme Dispersed (α=0.5,0.5,0.5)","Non-Multinomial",5,0.280892024724198,0.258071346765021,0.0228206779591776,0.38
"S3: Extreme Dispersed (α=0.5,0.5,0.5)","Non-Multinomial",10,0.201753040821935,0.217056030866947,-0.0153029900450123,0.5966
"S3: Extreme Dispersed (α=0.5,0.5,0.5)","Non-Multinomial",25,0.142085611354442,0.191476444934255,-0.0493908335798125,0.8106
"S3: Extreme Dispersed (α=0.5,0.5,0.5)","Non-Multinomial",50,0.118711737009685,0.182857681132848,-0.0641459441231636,0.8962
"S3: Extreme Dispersed (α=0.5,0.5,0.5)","Non-Multinomial",100,0.105499526813814,0.178399018348614,-0.0728994915348001,0.9345
"S3: Extreme Dispersed (α=0.5,0.5,0.5)","Non-Multinomial",500,0.0945363391083245,0.17486953478874,-0.080333195680416,0.9648
"S4: Moderate Narrow (α=50,50,50)","Multinomial",1,0.471447508169288,0.47150943658117,-6.19284118820613e-05,0.4963
"S4: Moderate Narrow (α=50,50,50)","Multinomial",2,0.356599671346241,0.360357834978962,-0.00375816363272116,0.626
"S4: Moderate Narrow (α=50,50,50)","Multinomial",3,0.301608309856966,0.303596775028034,-0.00198846517106758,0.5306
"S4: Moderate Narrow (α=50,50,50)","Multinomial",4,0.265719120675977,0.268246570665599,-0.00252744998962113,0.5768
"S4: Moderate Narrow (α=50,50,50)","Multinomial",5,0.241304176527498,0.243414838566402,-0.00211066203890472,0.5495
"S4: Moderate Narrow (α=50,50,50)","Multinomial",10,0.182996544293416,0.185102693578976,-0.00210614928556018,0.5385
"S4: Moderate Narrow (α=50,50,50)","Multinomial",25,0.136030317125398,0.138217219101004,-0.00218690197560585,0.5325
"S4: Moderate Narrow (α=50,50,50)","Multinomial",50,0.116294332895091,0.119595309186336,-0.00330097629124484,0.5588
"S4: Moderate Narrow (α=50,50,50)","Multinomial",100,0.105319262746556,0.109470555870544,-0.00415129312398802,0.5761
"S4: Moderate Narrow (α=50,50,50)","Multinomial",500,0.0951133847596963,0.102467974364678,-0.00735458960498162,0.6432
"S4: Moderate Narrow (α=50,50,50)","Non-Multinomial",1,0.731228876680938,0.776345029345215,-0.0451161526642773,0.9999
"S4: Moderate Narrow (α=50,50,50)","Non-Multinomial",2,0.471953490284643,0.513026505362006,-0.0410730150773632,0.9998
"S4: Moderate Narrow (α=50,50,50)","Non-Multinomial",3,0.3654773419725,0.394517078368818,-0.0290397363963181,0.8004
"S4: Moderate Narrow (α=50,50,50)","Non-Multinomial",4,0.314617113100186,0.350542246909566,-0.0359251338093795,0.9978
"S4: Moderate Narrow (α=50,50,50)","Non-Multinomial",5,0.27934787902246,0.312692634997175,-0.0333447559747154,0.9926
"S4: Moderate Narrow (α=50,50,50)","Non-Multinomial",10,0.199698086357212,0.226517530471002,-0.0268194441137895,0.8962
"S4: Moderate Narrow (α=50,50,50)","Non-Multinomial",25,0.140640320643848,0.160332121239879,-0.0196918005960311,0.8347
"S4: Moderate Narrow (α=50,50,50)","Non-Multinomial",50,0.117800766135889,0.133340105566467,-0.0155393394305777,0.7768
"S4: Moderate Narrow (α=50,50,50)","Non-Multinomial",100,0.105528700940547,0.118387582257301,-0.0128588813167537,0.7382
"S4: Moderate Narrow (α=50,50,50)","Non-Multinomial",500,0.0951604706087945,0.105214701948432,-0.0100542313396372,0.6932
"S5: Extreme Narrow (α=200,200,200)","Multinomial",1,0.471255684241672,0.471490118423937,-0.000234434182265197,0.5107
"S5: Extreme Narrow (α=200,200,200)","Multinomial",2,0.35851707992373,0.359995869242403,-0.0014787893186726,0.5318
