"scenario_short","alpha_type","n_counts","method","alpha_true","alpha_wrong","discrimination_pct","mean_es_diff","mean_term1_diff","mean_term2_diff","term2_contrib_ratio"
"scenario1_misspecified","asymmetric",1,"mn","2_3_15","15_3_2",83.52,-0.6037,-0.5993,0.0043,0.01
"scenario1_misspecified","asymmetric",2,"mn","2_3_15","15_3_2",91.6,-0.5795,-0.5733,0.0062,0.01
"scenario1_misspecified","asymmetric",3,"mn","2_3_15","15_3_2",92.56,-0.5847,-0.5834,0.0013,0
"scenario1_misspecified","asymmetric",4,"mn","2_3_15","15_3_2",94.74,-0.603,-0.5994,0.0036,0.01
"scenario1_misspecified","asymmetric",5,"mn","2_3_15","15_3_2",96.03,-0.614,-0.6129,0.0011,0
"scenario1_misspecified","asymmetric",10,"mn","2_3_15","15_3_2",98.67,-0.6641,-0.6622,0.002,0
"scenario1_misspecified","asymmetric",25,"mn","2_3_15","15_3_2",99.7,-0.7128,-0.7108,0.0019,0
"scenario1_misspecified","asymmetric",50,"mn","2_3_15","15_3_2",99.89,-0.7342,-0.733,0.0012,0
"scenario1_misspecified","asymmetric",100,"mn","2_3_15","15_3_2",99.92,-0.7458,-0.7453,5e-04,0
"scenario1_misspecified","asymmetric",500,"mn","2_3_15","15_3_2",99.98,-0.7572,-0.7565,7e-04,0
"scenario1_misspecified","asymmetric",1,"non-mn","2_3_15","15_3_2",82.52,-0.5672,-0.5667,4e-04,0
"scenario1_misspecified","asymmetric",2,"non-mn","2_3_15","15_3_2",87.81,-0.5755,-0.575,4e-04,0
"scenario1_misspecified","asymmetric",3,"non-mn","2_3_15","15_3_2",92.35,-0.6126,-0.6122,4e-04,0
"scenario1_misspecified","asymmetric",4,"non-mn","2_3_15","15_3_2",93.91,-0.6399,-0.6395,4e-04,0
"scenario1_misspecified","asymmetric",5,"non-mn","2_3_15","15_3_2",95.99,-0.6572,-0.6567,4e-04,0
"scenario1_misspecified","asymmetric",10,"non-mn","2_3_15","15_3_2",98.59,-0.701,-0.7005,4e-04,0
"scenario1_misspecified","asymmetric",25,"non-mn","2_3_15","15_3_2",99.69,-0.7333,-0.7329,4e-04,0
"scenario1_misspecified","asymmetric",50,"non-mn","2_3_15","15_3_2",99.89,-0.7462,-0.7458,4e-04,0
"scenario1_misspecified","asymmetric",100,"non-mn","2_3_15","15_3_2",99.92,-0.7527,-0.7523,4e-04,0
"scenario1_misspecified","asymmetric",500,"non-mn","2_3_15","15_3_2",99.98,-0.7585,-0.758,4e-04,0
"scenario2_narrow_calibrated","asymmetric",1,"mn","2_3_15","200_300_1500",66.39,-0.0062,3e-04,0.0065,0.96
"scenario2_narrow_calibrated","asymmetric",2,"mn","2_3_15","200_300_1500",50.96,-0.0013,0.0037,0.0051,0.58
"scenario2_narrow_calibrated","asymmetric",3,"mn","2_3_15","200_300_1500",48.59,-0.0016,0.0073,0.0089,0.55
"scenario2_narrow_calibrated","asymmetric",4,"mn","2_3_15","200_300_1500",48.18,-0.0017,0.0104,0.0121,0.54
"scenario2_narrow_calibrated","asymmetric",5,"mn","2_3_15","200_300_1500",43.99,-3e-04,0.013,0.0133,0.51
"scenario2_narrow_calibrated","asymmetric",10,"mn","2_3_15","200_300_1500",52.28,-0.0021,0.0211,0.0232,0.52
